state,district,market,commodity,variety,grade,arrival_date,min_price,max_price,modal_price
Andhra Pradesh,Anantapur,Anantapur,Mousambi(Sweet Lime),Mousambi,Medium,18/09/2025,700,1600,1200
Andhra Pradesh,Chittor,Chittoor,Gur(Jaggery),NO 2,FAQ,18/09/2025,3000,3500,3500
Andhra Pradesh,East Godavari,Ravulapelem,Banana,Bhushavali(Pacha),Large,18/09/2025,1700,2300,2100
Andhra Pradesh,East Godavari,Ravulapelem,Banana,Desi(Bontha),Large,18/09/2025,1800,2400,2200
Andhra Pradesh,Krishna,Tiruvuru,Maize,Hybrid/Local,FAQ,18/09/2025,2300,2400,2350
Andhra Pradesh,Krishna,Tiruvuru,Rice,1009 Kar,FAQ,18/09/2025,4400,4800,4600
Andhra Pradesh,Nellore,Atmakur(SPS),Paddy(Dhan)(Common),MTU-1010,FAQ,18/09/2025,2300,2400,2320
Andhra Pradesh,Nellore,Rapur,Paddy(Dhan)(Common),Common,Non-FAQ,18/09/2025,2370,2490,2450
Andhra Pradesh,Nellore,Rapur,Wood,Casuarina,FAQ,18/09/2025,5600,6000,5800
Gujarat,Amreli,Damnagar,Brinjal,Other,FAQ,18/09/2025,2850,3550,3200
Gujarat,Amreli,Damnagar,Cabbage,Cabbage,FAQ,18/09/2025,650,1550,900
Gujarat,Bharuch,Jambusar,Bajra(Pearl Millet/Cumbu),Other,FAQ,18/09/2025,2300,2700,2500
Gujarat,Bharuch,Jambusar,Jowar(Sorghum),Other,FAQ,18/09/2025,3000,3600,3300
Gujarat,Bharuch,Jambusar(Kaavi),Bajra(Pearl Millet/Cumbu),Other,FAQ,18/09/2025,2200,3000,2600
Gujarat,Chhota Udaipur,Bodeliu,Maize,Deshi Red,FAQ,18/09/2025,2050,2100,2070
Gujarat,Devbhumi Dwarka,Bhanvad,Corriander seed,Other,FAQ,18/09/2025,6000,7000,6500
Gujarat,Devbhumi Dwarka,Bhanvad,Groundnut,G20,Non-FAQ,18/09/2025,4500,5000,4700
Gujarat,Devbhumi Dwarka,Bhanvad,"Sesamum(Sesame,Gingelly,Til)",White,Non-FAQ,18/09/2025,6500,7300,7000
Gujarat,Gandhinagar,Mansa(Manas Veg Yard),Brinjal,Brinjal,FAQ,18/09/2025,4000,4000,4000
Gujarat,Sabarkantha,Modasa,Maize,Hybrid Red (Cattle Feed),FAQ,18/09/2025,2150,2300,2300
Gujarat,Sabarkantha,Modasa(Tintoi),Wheat,Lokwan,FAQ,18/09/2025,2550,2650,2650
Gujarat,Surat,Surat,Onion,Other,FAQ,18/09/2025,500,1700,1100
Gujarat,Surat,Surat,Papaya (Raw),Other,FAQ,18/09/2025,500,1000,750
Gujarat,Surat,Surat,Potato,Other,FAQ,18/09/2025,550,2100,1325
Gujarat,Surat,Surat,Ridgeguard(Tori),Other,FAQ,18/09/2025,2000,4800,3400
Gujarat,Valsad,Chikli(Khorgam),Pointed gourd (Parval),Other,FAQ,18/09/2025,3500,4500,4000
Haryana,Gurgaon,Gurgaon,Bitter gourd,Other,FAQ,18/09/2025,1500,2500,2000
Haryana,Gurgaon,Gurgaon,Pomegranate,Other,Large,18/09/2025,5000,10000,7500
Haryana,Gurgaon,Gurgaon,Potato,Other,FAQ,18/09/2025,800,1200,1000
Haryana,Hissar,Barwala(Hisar),Cabbage,Other,FAQ,18/09/2025,2000,2500,2400
