State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Karnataka,Bangalore,Channapatana,Cucumbar(Kheera),Cucumbar,FAQ,17-01-2015,300,400,350,159
Karnataka,Bangalore,Channapatana,Cucumbar(Kheera),Cucumbar,FAQ,20-01-2015,200,300,250,159
Karnataka,Bangalore,Channapatana,Cucumbar(Kheera),Cucumbar,FAQ,23-01-2015,250,350,300,159
Karnataka,Bangalore,Channapatana,Cucumbar(Kheera),Cucumbar,FAQ,24-01-2015,300,400,350,159
Karnataka,Bangalore,Channapatana,Cucumbar(Kheera),Cucumbar,Medium,28-01-2015,350,450,400,159
Karnataka,Bangalore,Channapatana,Cucumbar(Kheera),Cucumbar,FAQ,04-02-2015,400,600,500,159
Karnataka,Bangalore,Channapatana,Cucumbar(Kheera),Cucumbar,FAQ,12-02-2015,300,400,350,159
Karnataka,Bangalore,Channapatana,Cucumbar(Kheera),Cucumbar,FAQ,13-02-2015,300,400,350,159
Karnataka,Bangalore,Channapatana,Cucumbar(Kheera),Cucumbar,FAQ,16-02-2015,300,400,350,159
Karnataka,Bangalore,Channapatana,Cucumbar(Kheera),Cucumbar,FAQ,20-02-2015,400,500,450,159
Karnataka,Bangalore,Channapatana,Cucumbar(Kheera),Cucumbar,FAQ,21-02-2015,400,500,450,159
Karnataka,Bangalore,Channapatana,Ridgeguard(Tori),Ridgeguard(Tori),FAQ,01-01-2015,2300,2500,2400,160
Karnataka,Bangalore,Channapatana,Ridgeguard(Tori),Ridgeguard(Tori),FAQ,07-01-2015,1600,1800,1700,160
Karnataka,Bangalore,Channapatana,Ridgeguard(Tori),Ridgeguard(Tori),FAQ,19-01-2015,1800,2200,2000,160
Karnataka,Bangalore,Channapatana,Ridgeguard(Tori),Ridgeguard(Tori),FAQ,22-01-2015,1800,2200,2000,160
Karnataka,Bangalore,Channapatana,Ridgeguard(Tori),Ridgeguard(Tori),FAQ,23-01-2015,1800,2000,1900,160
Karnataka,Bangalore,Channapatana,Ridgeguard(Tori),Ridgeguard(Tori),FAQ,29-01-2015,1800,2000,1900,160
Karnataka,Bangalore,Channapatana,Ridgeguard(Tori),Ridgeguard(Tori),FAQ,09-02-2015,1200,1400,1300,160
Karnataka,Bangalore,Channapatana,Ridgeguard(Tori),Ridgeguard(Tori),FAQ,11-02-2015,1300,1500,1400,160
