State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Karnataka,Bangalore,Kanakapura,Potato,Local,FAQ,10-03-2015,1800,2000,1900,24
Karnataka,Bangalore,Kanakapura,Onion,Onion,FAQ,20-01-2015,1500,2200,2000,23
Karnataka,Bangalore,Kanakapura,Onion,Onion,FAQ,23-01-2015,1800,2300,2000,23
Karnataka,Bangalore,Kanakapura,Onion,Onion,FAQ,11-02-2015,1600,2200,1800,23
Karnataka,Bangalore,Kanakapura,Onion,Onion,FAQ,19-02-2015,1600,2200,2000,23
Karnataka,Bangalore,Kanakapura,Onion,Onion,FAQ,31-07-2015,3500,4500,4000,23
Karnataka,Bangalore,Kanakapura,Onion,Onion,FAQ,19-09-2015,3500,5000,4500,23
Karnataka,Bangalore,Kanakapura,Onion,Onion,FAQ,11-11-2015,1800,3000,2500,23
Karnataka,Bangalore,Kanakapura,Onion,Onion,FAQ,26-11-2015,2500,3200,3000,23
Karnataka,Bangalore,Kanakapura,Carrot,Carrot,Medium,12-11-2014,2500,3500,3000,153
Karnataka,Bangalore,Kanakapura,Carrot,Carrot,Medium,10-12-2014,2200,3000,2600,153
Karnataka,Bangalore,Kanakapura,Raddish,Raddish,Medium,10-09-2014,900,1200,1000,161
Karnataka,Bangalore,Kanakapura,Tender Coconut,Tender Coconut,FAQ,04-08-2016,5000,6000,5500,200
Karnataka,Bangalore,Kanakapura,Tamarind Seed,Tamarind Seed,FAQ,13-04-2016,1150,1200,1175,208
Karnataka,Bangalore,Kanakapura,Lime,Lime,FAQ,21-01-2015,100,300,200,180
Karnataka,Bangalore,Kanakapura,Groundnut,Other,Medium,05-11-2014,4200,4200,4200,10
Karnataka,Bangalore,Kanakapura,Knool Khol,Knool Khol,Medium,28-01-2015,1000,1500,1250,177
Karnataka,Bangalore,Kanakapura,Knool Khol,Knool Khol,FAQ,31-01-2015,1200,1600,1400,177
Karnataka,Bangalore,Kanakapura,Knool Khol,Knool Khol,FAQ,10-02-2015,1200,1800,1600,177
Karnataka,Bangalore,Kanakapura,Banana,Elakki Bale,FAQ,01-01-2016,1800,2200,2000,19
Karnataka,Bangalore,Kanakapura,Banana,Elakki Bale,FAQ,06-01-2016,2500,2500,2500,19
Karnataka,Bangalore,Kanakapura,Banana,Elakki Bale,FAQ,07-01-2016,1800,2500,2200,19
Karnataka,Bangalore,Kanakapura,Banana,Elakki Bale,FAQ,12-01-2016,1600,2500,2200,19
Karnataka,Bangalore,Kanakapura,Banana,Elakki Bale,FAQ,24-02-2016,2400,2890,2600,19
Karnataka,Bangalore,Kanakapura,Banana,Elakki Bale,FAQ,27-02-2016,2400,2800,2600,19
Karnataka,Bangalore,Kanakapura,Banana,Elakki Bale,FAQ,02-03-2016,2200,2800,2600,19
Karnataka,Bangalore,Kanakapura,Banana,Elakki Bale,FAQ,14-03-2016,2200,2900,2800,19
Karnataka,Bangalore,Kanakapura,Banana,Elakki Bale,FAQ,17-03-2016,2200,2900,2800,19
Karnataka,Bangalore,Kanakapura,Banana,Elakki Bale,FAQ,21-03-2016,2200,2900,2800,19
Karnataka,Bangalore,Kanakapura,Banana,Elakki Bale,FAQ,22-03-2016,2200,2900,2800,19
Karnataka,Bangalore,Kanakapura,Banana,Elakki Bale,FAQ,28-03-2016,1900,2300,2200,19
Karnataka,Bangalore,Kanakapura,Banana,Elakki Bale,FAQ,29-03-2016,1800,2300,2200,19
Karnataka,Bangalore,Kanakapura,Banana,Elakki Bale,FAQ,20-04-2016,2400,2900,2800,19
Karnataka,Bangalore,Kanakapura,Banana,Elakki Bale,FAQ,22-04-2016,2600,3100,3000,19
Karnataka,Bangalore,Kanakapura,Banana,Elakki Bale,FAQ,23-04-2016,2600,3100,3000,19
Karnataka,Bangalore,Kanakapura,Banana,Elakki Bale,FAQ,02-05-2016,2500,3200,3100,19
Karnataka,Bangalore,Kanakapura,Banana,Elakki Bale,FAQ,11-05-2016,4100,4300,4200,19
Karnataka,Bangalore,Kanakapura,Banana,Elakki Bale,FAQ,21-05-2016,4200,5000,4800,19
Karnataka,Bangalore,Kanakapura,Banana,Elakki Bale,FAQ,23-05-2016,4200,4800,4600,19
Karnataka,Bangalore,Kanakapura,Banana,Elakki Bale,FAQ,26-05-2016,4200,4900,4600,19
Karnataka,Bangalore,Kanakapura,Banana,Elakki Bale,FAQ,31-05-2016,4500,4800,4700,19
Karnataka,Bangalore,Kanakapura,Banana,Elakki Bale,FAQ,06-06-2016,4500,4900,4800,19
Karnataka,Bangalore,Kanakapura,Banana,Elakki Bale,FAQ,07-06-2016,4500,5000,4800,19
Karnataka,Bangalore,Kanakapura,Banana,Elakki Bale,FAQ,21-06-2016,5500,6000,5900,19
Karnataka,Bangalore,Kanakapura,Banana,Elakki Bale,FAQ,24-06-2016,5500,6000,5900,19
Karnataka,Bangalore,Kanakapura,Banana,Elakki Bale,FAQ,27-06-2016,5800,6100,6000,19
Karnataka,Bangalore,Kanakapura,Banana,Elakki Bale,FAQ,12-07-2016,5500,6300,5900,19
